Database generated on 2021-05-31 16:00:10 for BM35115 covering -720 to -581
Scores for Shamashshumukin Acc.
Year   Score
-667 5.580889466915484
-676 4.844272532887037
-630 4.737415156243697
-684 4.488813158433958
-619 4.4626805460473165
-713 4.360188715113349
-694 4.343667847617462
-695 4.334636618820705
-714 4.2978533549535545
-620 4.186179475465334
-685 4.158438117109089
-678 4.100741917927609
-648 4.07444940477428
-659 4.06071546914621
-640 4.052814395057779
-658 4.050513242537528
-649 4.050395047685986
-666 4.0496371489058145
-631 4.049347361678809
-704 4.047
-657 4.047
-677 4.0129523348977205
-705 4.004317385040927
-696 4.000049752063736
-703 4.000032015850719
-686 3.9976971700992205
-629 3.760317574825095
-668 3.3328890560639586
-693 3.0469999999999997
-639 3.0469999999999997
-647 3.0076163073979854
-665 3.0020237632596904
-638 3.0000000872082166
-711 2.997
-675 2.997
-646 2.997
-628 2.997
-622 2.959547584992392
-637 2.667657082906153
-650 2.665
-641 2.607668616856527
-621 2.4772198367371674
-706 2.4729781610928177
-687 2.3345920746075928
-712 2.0500075105457745
-702 1.7305117244887613
-683 1.7294631466505526
-656 1.6731506995446157
-618 1.6667539346111484
-715 1.666
-632 1.666
-664 1.665
-660 1.3326712545877373
-669 1.0
-651 1.0
-670 0.999
-697 0.666
-720 0.0
-719 0.0
-718 0.0
-717 0.0
-716 0.0
-710 0.0
-709 0.0
-708 0.0
-707 0.0
-701 0.0
-700 0.0
-699 0.0
-698 0.0
-692 0.0
-691 0.0
-690 0.0
-689 0.0
-688 0.0
-682 0.0
-681 0.0
-680 0.0
-679 0.0
-674 0.0
-673 0.0
-672 0.0
-671 0.0
-663 0.0
-662 0.0
-661 0.0
-655 0.0
-654 0.0
-653 0.0
-652 0.0
-645 0.0
-644 0.0
-643 0.0
-642 0.0
-636 0.0
-635 0.0
-634 0.0
-633 0.0
-627 0.0
-626 0.0
-625 0.0
-624 0.0
-623 0.0
-617 0.0
